Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Citrobacter sp. strain M41 16S ribosomal RNA gene, partial sequence",Citrobacter sp.,99.0,562,24%,2e-15,96.67,1423,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT730590.1?report=genbank&log$=nucltop&blast_rank=88&RID=4BMC37FV013"",""MT730590.1"")"
"Uncultured bacterium clone 113B477 16S ribosomal RNA gene, partial sequence",uncultured bacterium,97.1,325,16%,8e-15,96.49,1355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF687482.1?report=genbank&log$=nucltop&blast_rank=89&RID=4BMC37FV013"",""EF687482.1"")"
"Citrobacter europaeus strain BSE17 16S ribosomal RNA gene, partial sequence",Citrobacter europaeus,95.3,373,16%,3e-14,95.00,1037,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK774708.1?report=genbank&log$=nucltop&blast_rank=90&RID=4BMC37FV013"",""MK774708.1"")"
"Citrobacter sp. 081 gene for 16S ribosomal RNA, partial sequence",Citrobacter sp.,95.3,743,31%,3e-14,95.00,1311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC474052.1?report=genbank&log$=nucltop&blast_rank=91&RID=4BMC37FV013"",""LC474052.1"")"
"Klebsiella aerogenes strain BKG-6 16S ribosomal RNA gene, partial sequence",Klebsiella aerogenes,95.3,95.3,4%,3e-14,95.00,892,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK361121.1?report=genbank&log$=nucltop&blast_rank=92&RID=4BMC37FV013"",""MK361121.1"")"
"Citrobacter sp. strain C1-C-1 16S ribosomal RNA gene, partial sequence",Citrobacter sp.,95.3,835,35%,3e-14,95.00,1482,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK271762.1?report=genbank&log$=nucltop&blast_rank=93&RID=4BMC37FV013"",""OK271762.1"")"
"Citrobacter freundii strain RKPS2 16S ribosomal RNA gene, partial sequence",Citrobacter freundii,93.5,641,27%,1e-13,100.00,1419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN124175.1?report=genbank&log$=nucltop&blast_rank=94&RID=4BMC37FV013"",""MN124175.1"")"
"Pectobacterium sp. PT166 16S ribosomal RNA gene, partial sequence",Pectobacterium sp. PT166,93.5,542,23%,1e-13,100.00,1330,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY124187.1?report=genbank&log$=nucltop&blast_rank=95&RID=4BMC37FV013"",""KY124187.1"")"
"Uncultured Klebsiella sp. clone KKo16 16S ribosomal RNA gene, partial sequence",uncultured Klebsiella sp.,93.5,826,35%,1e-13,100.00,1387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX940808.1?report=genbank&log$=nucltop&blast_rank=96&RID=4BMC37FV013"",""KX940808.1"")"
"Uncultured Citrobacter sp. clone 9-SxT-19 16S ribosomal RNA gene, partial sequence",uncultured Citrobacter sp.,93.5,740,31%,1e-13,100.00,1399,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ217394.1?report=genbank&log$=nucltop&blast_rank=97&RID=4BMC37FV013"",""OQ217394.1"")"
"Klebsiella aerogenes strain S5-Wa.2 16S ribosomal RNA gene, partial sequence",Klebsiella aerogenes,93.5,557,23%,1e-13,100.00,1328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP858883.1?report=genbank&log$=nucltop&blast_rank=98&RID=4BMC37FV013"",""OP858883.1"")"
"Escherichia coli O6:K2:H1 strain C 691-04A chromosome, complete genome",Escherichia coli O6:K2:H1,93.5,7118,43%,1e-13,100.00,5176167,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP109929.1?report=genbank&log$=nucltop&blast_rank=99&RID=4BMC37FV013"",""CP109929.1"")"
"Uncultured bacterium clone Band5_S+P_Lab 16S ribosomal RNA gene, partial sequence",uncultured bacterium,91.6,91.6,3%,4e-13,100.00,389,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH250023.1?report=genbank&log$=nucltop&blast_rank=100&RID=4BMC37FV013"",""MH250023.1"")"



		


